updated_label,original_url,old_label,source_article,explanations,rationale
faulty generalization,https://quizizz.com/admin/quiz/5f948dcbedafcd001e0c5506/logical-fallacies,hasty generalization,"""Annie must like Starbucks because all white girls like Starbucks.""",,
faulty generalization,https://quizizz.com/admin/quiz/601ab1436b68c3001b346fbc/logical-fallacy,hasty generalization,"It is warmer this year in Las Vegas as compared to last year; therefore, global warming is rapidly accelerating.",,
faulty generalization,https://quizizz.com/admin/quiz/5f886ce55bec10001beda125/logical-fallacy-practice,hasty generalization,"""The two courses I took at UF were not very interesting. I don't think its a good university.""",,
faulty generalization,https://quizizz.com/admin/quiz/601d66c86088e4001bc1a9d9/fallacies-pt,hasty generalization,A driver with a New York license plate cuts you off in traffic. You decide that all New York drivers are terrible drivers.,,
faulty generalization,https://quizizz.com/admin/quiz/5e7d3bd586911a001b0f28c5/logical-fallacies,hasty generalization,"""Four out of five dentists recommend Happy Glossy toothpaste. Therefore, it must be great.""",,
faulty generalization,https://quizizz.com/admin/quiz/5ad4e7ecdc7f09001a7e8c79/logical-fallacies,hasty generalization,No one in your family surfs? But I thought you said you lived in California before this.,,
faulty generalization,https://quizizz.com/admin/quiz/5a785356c0a53f001fa6b5a1/logical-fallacies,hasty generalization,All women are bad drivers.,,
faulty generalization,https://quizizz.com/admin/quiz/60b4f4000f8488001b40c84c/types-of-logical-fallacy,hasty generalization,You visit a new country and the first person you meet in the airport is rude. You send a message to a friend back home that everyone in this new country is rude.,,
faulty generalization,https://quizizz.com/admin/quiz/5d8b58e02e4e1c001a5023ab/fallacies,hasty generalization,Kevin's grandparents do not know how to use a computer. Kevin thinks that all older people must be computer illiterate.,,
faulty generalization,https://quizizz.com/admin/quiz/5a785356c0a53f001fa6b5a1/logical-fallacies,hasty generalization,Saying that men don't ever ask for directions,,
faulty generalization,https://quizizz.com/admin/quiz/5f94b60e682994001daa62b4/logical-fallacies,hasty generalization,"If you eat a good diet, you will never have a heart attack.",,
faulty generalization,https://quizizz.com/admin/quiz/5f50002ffb10b3001bac74ae/logical-fallacies,hasty generalization,Everyone knows that teenagers are lazy,,
faulty generalization,https://quizizz.com/admin/quiz/601186198d64cb001b52da5f/logical-fallacies,hasty generalization,"MeowMeowTweet is American-made skincare. I used it, and it gave me zits. American-made skincare gives people acne.",,
faulty generalization,https://quizizz.com/admin/quiz/601186198d64cb001b52da5f/logical-fallacies,hasty generalization,"All teachers drink coffee and teachers are people; therefore, all people drink coffee.",,
faulty generalization,https://quizizz.com/admin/quiz/601186198d64cb001b52da5f/logical-fallacies,hasty generalization,All four year olds talk too much.,,
faulty generalization,https://quizizz.com/admin/quiz/5f769795899c3f001cce9a5a/philo-quiz-week-fallacy,hasty generalization,I met a tall man who loved to eat cheese. Now I believe that all tall people like cheese.,,
faulty generalization,https://quizizz.com/admin/quiz/5a71115d28be22001ce11b57/logical-fallacy-practice,hasty generalization,"I know three redheads who have terrible tempers, and since Annabel has red hair, I’ll bet she has a terrible temper too.",,
faulty generalization,https://quizizz.com/admin/quiz/5f6780dc106b31001bb3e0cd/logical-fallacies,hasty generalization,We think this new MallTime game app will be a success because all girls like shopping.,,
faulty generalization,https://quizizz.com/admin/quiz/5db978973e3b40001ac3ffe3/persuasive-techniques-practice,hasty generalization,People from big cities are not as friendly as those from small towns.,,
faulty generalization,https://quizizz.com/admin/quiz/601d4f7f893cd7001c42d2a7/logical-fallacies,hasty generalization,My brother Humza eats cheeseburgers and pizza. He is thin. Cheeseburgers and pizza aren’t the cause of obesity.,,
faulty generalization,https://quizizz.com/admin/quiz/601d4f7f893cd7001c42d2a7/logical-fallacies,hasty generalization,"“My roommate Fatima said her philosophy class was hard, and the one I’m in is hard, too. All philosophy classes must be hard!” Insisted Baneen.",,
faulty generalization,https://quizizz.com/admin/quiz/5e7d3bd586911a001b0f28c5/logical-fallacies,hasty generalization,"I was just on the phone with a Southerner, and I could barely keep up! All Southerners talk fast.",,
faulty generalization,https://quizizz.com/admin/quiz/60242064a66179001be30a7b/logical-fallacies,hasty generalization,I have several female friends and every one of them loves country music. All females love country music.,,
faulty generalization,https://quizizz.com/admin/quiz/606da344cc5eda001ba2e53c/fallacies-quiz,hasty generalization,"That type of car is poorly made; a friend of mine has one, and it continually gives him trouble.",,
faulty generalization,https://quizizz.com/admin/quiz/5fc513ccc22a8c001b2c995b/logical-fallacies-more,hasty generalization,Everyone loves Post Malone and can name at least one of his songs! (This is an example of...),,
faulty generalization,https://quizizz.com/admin/quiz/58eaee695faa9d643b89c21b/als-logical-fallacies,hasty generalization,"""That new home looks great! Let's buy it!""",,
faulty generalization,https://quizizz.com/admin/quiz/58eaee695faa9d643b89c21b/als-logical-fallacies,hasty generalization,"Jeff is preparing to create a commercial for a new energy drink. He visits a local high school and surveys students in an English class about their beverage preferences. The majority of the class says they prefer grape flavored drinks, so Jeff tells his superiors that grape is the flavor favored most by high school students. What error in reasoning has Jeff made?http://www.funtrivia.com",,
faulty generalization,https://quizizz.com/admin/quiz/5dd2aca5fc8633001bc7b986/fallacy-review,hasty generalization,We think this new MallTime game app will be a success because all little girls like shopping.,,
faulty generalization,https://quizizz.com/admin/quiz/5da783b3216605001ad267df/match-logical-fallacies,hasty generalization,"I saw a student texting in my class yesterday; all my students must be texting, so cell phones should be banned.",,
faulty generalization,https://quizizz.com/admin/quiz/60a583dc64d8ad001bb5d3fd/logical-fallacies,hasty generalization,“The two courses I took at Harvard were not very interesting. I don't think it is a good university.”,,
faulty generalization,https://quizizz.com/admin/quiz/60a583dc64d8ad001bb5d3fd/logical-fallacies,hasty generalization,"“Birds can fly; therefore, penguins can fly.”",,
